Fundamentals of Data Engineering: Plan and Build Robust Data Systems,42.19,Joe Reis,4.7 out of 5 stars,https://www.amazon.co.uk/Fundamentals-Data-Engineering-Robust-Systems/dp/1098108302/ref=sr_1_1?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-1
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",34.46,Martin Kleppmann,4.7 out of 5 stars,https://www.amazon.co.uk/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_4?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-4
Engineers Data Book,16.25,Clifford Matthews,4.6 out of 5 stars,https://www.amazon.co.uk/Engineers-Data-Book-Clifford-Matthews/dp/1119976227/ref=sr_1_5?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-5
Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,18.69,James Densmore,4.5 out of 5 stars,https://www.amazon.co.uk/Data-Pipelines-Pocket-Reference-Processing/dp/1492087831/ref=sr_1_6?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-6
An Engineering Data Book,24.99,No Author,4.1 out of 5 stars,https://www.amazon.co.uk/Engineering-Data-Book-J-Calvert/dp/0230220339/ref=sr_1_9?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-9
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",37.99,Roberto Zagni,4.7 out of 5 stars,https://www.amazon.co.uk/Data-Engineering-dbt-cloud-based-dependable/dp/1803246286/ref=sr_1_10?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-10
Data Engineering with Python cookbook: Learn to build efficient data pipelines using the Modern Cloud Data Stack,24.99,Adithyan Ramanujakootam,5.0 out of 5 stars,https://www.amazon.co.uk/Data-Engineering-Python-cookbook-efficient/dp/B0CKK86DDL/ref=sr_1_11?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-11
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,30.99,No Author,4.2 out of 5 stars,https://www.amazon.co.uk/Data-Engineering-Python-datasets-pipelines/dp/183921418X/ref=sr_1_12?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-12
Data Engineering with AWS - Second Edition: Acquire the skills to design and build AWS-based data transformation pipelines like a pro,38.99,Gareth Eagar,5.0 out of 5 stars,https://www.amazon.co.uk/Data-Engineering-AWS-AWS-based-transformation/dp/1804614424/ref=sr_1_14?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-14
"Cracking the Data Engineering Interview: Land your dream job with the help of resume-building tips, over 100 mock questions, and a unique portfolio",22.99,Kedeisha Bryan,No Rating,https://www.amazon.co.uk/Cracking-Data-Engineering-Interview-resume-building-ebook/dp/B0C9D4KRP2/ref=sr_1_15?crid=38DYM17O25O1K&dib=eyJ2IjoiMSJ9.lYwfG6Cki9cIzZbbw-FkBMUAAW3A7-JKqjabSx_ScV556iz2Cm2wzEJS2V30JSnsR1sw5rgpwPeDLsn58tHsMkfTbzkw_YeKvW8T9-GykkQ0EtOfgCQ-PNvVvAqRGLQZG1g9Q4ON7dVV0THy4RSBeF5340FLzulMpZZclBn6_8825NfjC12h-Kfkgbq1UbGl0iaMrbOyq2xIvGoRnwnTg8M58HotGCVagUk952ldEgM.arhYQLGUiq25jDlzT1Ij-oZSHOHZO-g2cCTkZ9HtQKI&dib_tag=se&keywords=data+engineering+books&qid=1710352654&sprefix=data+engineering+books%2Caps%2C118&sr=8-15
